Time,0.5 0.5
751,37.2431
751.5,37.2528
752,37.2624
752.5,37.2721
753,37.2818
753.5,37.2914
754,37.3011
754.5,37.3107
755,37.3203
755.5,37.3299
756,37.3396
756.5,37.3492
757,37.3588
757.5,37.3683
758,37.3779
758.5,37.3875
759,37.3971
759.5,37.4066
760,37.4162
760.5,37.4257
761,37.4352
761.5,37.4448
762,37.4543
762.5,37.4638
763,37.4733
763.5,37.4828
764,37.4923
764.5,37.5018
765,37.5112
765.5,37.5207
766,37.5301
766.5,37.5396
767,37.549
767.5,37.5585
768,37.5679
768.5,37.5773
769,37.5867
769.5,37.5961
770,37.6055
770.5,37.6149
771,37.6243
771.5,37.6336
772,37.643
772.5,37.6524
773,37.6617
773.5,37.6711
774,37.6804
774.5,37.6897
775,37.699
775.5,37.7083
776,37.7176
776.5,37.7269
777,37.7362
777.5,37.7455
778,37.7548
778.5,37.764
779,37.7733
779.5,37.7825
780,37.7918
780.5,37.801
781,37.8102
781.5,37.8195
782,37.8287
782.5,37.8379
783,37.8471
783.5,37.8563
784,37.8654
784.5,37.8746
785,37.8838
785.5,37.8929
786,37.9021
786.5,37.9112
787,37.9204
787.5,37.9295
788,37.9386
788.5,37.9477
789,37.9568
789.5,37.9659
790,37.975
790.5,37.9841
791,37.9932
791.5,38.0022
792,38.0113
792.5,38.0204
793,38.0294
793.5,38.0384
794,38.0475
794.5,38.0565
795,38.0655
795.5,38.0745
796,38.0835
796.5,38.0925
797,38.1015
797.5,38.1105
798,38.1195
798.5,38.1284
799,38.1374
799.5,38.1463
800,38.1553
800.5,38.1642
801,38.1731
801.5,38.1821
802,38.191
802.5,38.1999
803,38.2088
803.5,38.2177
804,38.2266
804.5,38.2354
805,38.2443
805.5,38.2532
806,38.262
806.5,38.2709
807,38.2797
807.5,38.2886
808,38.2974
808.5,38.3062
809,38.315
809.5,38.3238
810,38.3326
810.5,38.3414
811,38.3502
811.5,38.359
812,38.3678
812.5,38.3765
813,38.3853
813.5,38.394
814,38.4028
814.5,38.4115
815,38.4202
815.5,38.4289
816,38.4377
816.5,38.4464
817,38.4551
817.5,38.4638
818,38.4724
818.5,38.4811
819,38.4898
819.5,38.4984
820,38.5071
820.5,38.5158
821,38.5244
821.5,38.533
822,38.5417
822.5,38.5503
823,38.5589
823.5,38.5675
824,38.5761
824.5,38.5847
825,38.5933
825.5,38.6019
826,38.6104
826.5,38.619
827,38.6276
827.5,38.6361
828,38.6446
828.5,38.6532
829,38.6617
829.5,38.6702
830,38.6788
830.5,38.6873
831,38.6958
831.5,38.7043
832,38.7128
832.5,38.7212
833,38.7297
833.5,38.7382
834,38.7466
834.5,38.7551
835,38.7635
835.5,38.772
836,38.7804
836.5,38.7888
837,38.7973
837.5,38.8057
838,38.8141
838.5,38.8225
839,38.8309
839.5,38.8393
840,38.8476
840.5,38.856
841,38.8644
841.5,38.8727
842,38.8811
842.5,38.8894
843,38.8978
843.5,38.9061
844,38.9144
844.5,38.9227
845,38.9311
845.5,38.9394
846,38.9477
846.5,38.956
847,38.9642
847.5,38.9725
848,38.9808
848.5,38.9891
849,38.9973
849.5,39.0056
850,39.0138
850.5,39.022
851,39.0303
851.5,39.0385
852,39.0467
852.5,39.0549
853,39.0631
853.5,39.0713
854,39.0795
854.5,39.0877
855,39.0959
855.5,39.1041
856,39.1122
856.5,39.1204
857,39.1285
857.5,39.1367
858,39.1448
858.5,39.1529
859,39.1611
859.5,39.1692
860,39.1773
860.5,39.1854
861,39.1935
861.5,39.2016
862,39.2097
862.5,39.2178
863,39.2258
863.5,39.2339
864,39.2419
864.5,39.25
865,39.258
865.5,39.2661
866,39.2741
866.5,39.2821
867,39.2902
